6088d721e31ca31f4a9ac918,654321,1,0,14,6,98007
6088d721e31ca31f4a9ac919,123654,3,4,12,14,98055
6088d721e31ca31f4a9ac91a,621453,5,7,11,14,98055
6088d721e31ca31f4a9ac91c,123654,13,14,9,3,98053
6088d721e31ca31f4a9ac91b,354126,7,11,11,1,98053
6088d721e31ca31f4a9ac91d,354126,15,16,8,7,98007
6088d721e31ca31f4a9ac91e,123654,19,20,13,3,98053
6088d721e31ca31f4a9ac91f,123456,24,23,7,7,98007
6088d721e31ca31f4a9ac920,354126,30,0,5,14,98055
6088d722e31ca31f4a9ac921,621453,35,2,5,6,98007
6088d722e31ca31f4a9ac922,654321,39,3,6,15,98055
6088d722e31ca31f4a9ac923,321654,43,6,5,15,98055
6088d722e31ca31f4a9ac925,354126,48,12,6,14,98055
6088d722e31ca31f4a9ac926,654123,52,16,8,5,98007
6088d722e31ca31f4a9ac924,123456,44,9,9,15,98055
6088d723e31ca31f4a9ac928,354126,61,18,14,18,98011
6088d723e31ca31f4a9ac92b,321654,71,0,14,7,98007
6088d722e31ca31f4a9ac927,123654,58,17,11,2,98053
6088d723e31ca31f4a9ac92a,654321,67,22,12,15,98055
6088d723e31ca31f4a9ac929,654123,63,20,13,3,98053
6088d723e31ca31f4a9ac92c,654321,72,4,10,11,98077
6088d723e31ca31f4a9ac92d,654123,77,8,9,1,98053
6088d723e31ca31f4a9ac92e,123654,81,10,6,9,98077
6088d723e31ca31f4a9ac92f,123456,87,14,8,2,98053
6088d723e31ca31f4a9ac931,123456,94,21,6,17,98011
6088d723e31ca31f4a9ac930,321654,88,18,11,13,98055
6088d723e31ca31f4a9ac932,321456,99,22,13,17,98011
6088d723e31ca31f4a9ac933,654123,102,0,5,5,98007
6088d723e31ca31f4a9ac934,543216,105,3,14,6,98007
6088d723e31ca31f4a9ac935,123456,111,7,14,5,98007
6088d723e31ca31f4a9ac936,654321,114,8,9,19,98011
6088d723e31ca31f4a9ac937,321456,119,11,13,1,98053
6088d723e31ca31f4a9ac938,354126,124,12,14,10,98077
6088d723e31ca31f4a9ac939,543216,130,14,13,13,98055
6088d723e31ca31f4a9ac93a,654123,133,15,13,5,98007
6088d723e31ca31f4a9ac93b,543216,134,16,13,18,98011
6088d723e31ca31f4a9ac93d,123456,138,20,5,17,98011
6088d723e31ca31f4a9ac93c,123654,135,19,14,11,98077
6088d723e31ca31f4a9ac93e,321654,143,21,7,1,98053
6088d723e31ca31f4a9ac93f,543216,149,22,6,7,98007
6088d723e31ca31f4a9ac940,654123,154,23,7,3,98053
6088d723e31ca31f4a9ac941,321654,158,0,11,5,98007
6088d723e31ca31f4a9ac943,654321,167,4,14,14,98055
6088d723e31ca31f4a9ac942,321654,161,3,7,19,98011
6088d723e31ca31f4a9ac944,621453,169,6,12,1,98053
6088d723e31ca31f4a9ac945,123456,172,10,14,1,98053
6088d723e31ca31f4a9ac946,543216,178,14,10,5,98007
6088d723e31ca31f4a9ac947,354126,181,16,5,19,98011
6088d723e31ca31f4a9ac948,654123,186,20,9,15,98055
6088d723e31ca31f4a9ac949,123456,189,22,5,9,98077
6088d723e31ca31f4a9ac94a,621453,194,0,8,19,98011
6088d723e31ca31f4a9ac94b,354126,199,1,9,17,98011
6088d723e31ca31f4a9ac94c,123654,203,5,6,7,98007
6088d723e31ca31f4a9ac94d,543216,209,9,11,10,98077
6088d723e31ca31f4a9ac94e,621453,211,10,13,10,98077
6088d723e31ca31f4a9ac94f,123654,212,14,5,5,98007
6088d723e31ca31f4a9ac950,621453,216,18,12,6,98007
6088d724e31ca31f4a9ac951,654321,220,22,10,13,98055
6088d724e31ca31f4a9ac952,321654,226,0,8,3,98053
6088d724e31ca31f4a9ac953,321456,227,4,14,14,98055
6088d724e31ca31f4a9ac954,654123,232,7,5,11,98077
6088d724e31ca31f4a9ac955,321654,236,9,13,9,98077
6088d724e31ca31f4a9ac956,621453,240,11,14,1,98053
6088d724e31ca31f4a9ac957,321456,242,14,8,11,98077
6088d724e31ca31f4a9ac958,543216,248,18,12,11,98077
6088d724e31ca31f4a9ac959,123654,253,21,8,15,98055
6088d724e31ca31f4a9ac95a,321456,258,0,7,5,98007
6088d724e31ca31f4a9ac95b,123456,259,1,14,9,98077
6088d724e31ca31f4a9ac95c,123456,261,5,6,2,98053
6088d724e31ca31f4a9ac95d,654123,262,7,6,5,98007
6088d724e31ca31f4a9ac95e,123654,263,11,12,10,98077
6088d724e31ca31f4a9ac95f,621453,266,13,6,1,98053
6088d724e31ca31f4a9ac960,123654,269,14,10,3,98053
6088d724e31ca31f4a9ac961,321456,272,17,11,9,98077
6088d724e31ca31f4a9ac962,543216,276,21,9,17,98011
6088d724e31ca31f4a9ac963,321456,278,23,8,17,98011
